D KLDivAvg KLDivStd
2 1.1167980779047682e-08 1.3986737570267147e-08
4 5.051551952604816e-06 6.482726717946591e-06
6 0.0002697392784159227 0.00030806238041898424
8 0.001081606811539511 0.0003208709634965837
10 0.0014612935523457015 0.0002827408937705808
12 0.00169094481174317 0.0005208564682650137
14 0.0034506376520335455 0.001889092856560324
16 0.009306704677968148 0.001254864211874122
18 0.008168219041921804 0.0012461919468074612
20 0.011566015026924545 0.008181223672565524
22 0.02024936284039149 0.007392391519859722
