D TimeAvg TimeStd
2 2.007598e-04 4.846520e-04
4 5.773931e-04 4.667764e-04
6 3.805892e-03 1.280934e-03
8 7.009701e-02 2.156970e-03
10 1.902765e+00 1.048268e-01
12 9.849292e+00 1.235035e-01
14 1.978788e+01 4.611226e-01
16 2.831795e+01 2.188773e-01
18 3.651864e+01 1.664243e-01
20 5.249587e+01 6.817735e-01
22 7.136310e+01 1.097251e+00
24 8.673950e+01 1.702123e+00
26 1.126197e+02 1.969989e+00
28 7.249150e+01 1.554913e-01
32 1.006669e+02 2.340630e-01
36 1.327854e+02 5.554996e-01
40 1.741622e+02 1.643419e-01
44 2.274947e+02 2.476309e-01
48 2.957861e+02 7.986679e-01
52 3.887202e+02 1.028797e+00
56 4.790236e+02 1.625178e+00
60 6.019350e+02 2.279044e+00
64 7.620274e+02 2.276278e+00
68 9.644870e+02 3.848033e+00
72 1.213401e+03 8.794716e+00
76 1.468776e+03 1.313108e+01
80 1.865856e+03 1.180628e+01
